# mode    freq(cm-1)    alpha    beta2    activity
11   808.86694  -0.0765734   0.0527714   0.6332567
12   811.61131  -0.1148601   0.0395785   0.8707277
13   897.16764   0.0000000   0.6332555   4.4327884
14   912.90023   0.0000000   0.5145246   3.6016719
15   920.44627   0.0000000   0.3562070   2.4934492
16   937.77489   0.0000000   1.8850683  13.1954780
17   962.08124   0.0000000   1.8850691  13.1954834
18  1005.79109   0.2642298   1.0996238  10.8391485
19  1074.34666   0.0000000   4.2414045  29.6898317
20  1087.26072   0.0000000   1.8850697  13.1954882
