# mode    freq(cm-1)    alpha    beta2    activity
3    24.71850   0.0765734   0.0527714   0.6332562
4    87.12140   0.0000000   0.6728368   4.7098578
5    89.13950   0.0000000   0.1978924   1.3852466
6    90.30978   0.0000000   0.0000000   0.0000000
7   356.22587   0.0000000   0.6332570   4.4327987
8   534.31408   0.0000000   0.1583137   1.1081958
9   664.44432   0.0000000   0.0395787   0.2770506
10   695.39944   0.0000000   0.0395786   0.2770504
11   808.86694  -0.0765734   0.0527714   0.6332567
12   811.61131  -0.1148601   0.0395785   0.8707277
13   897.16764   0.0000000   0.6332555   4.4327884
14   912.90023   0.0000000   0.5145246   3.6016719
15   920.44627   0.0000000   0.3562070   2.4934492
16   937.77489   0.0000000   1.8850683  13.1954780
17   962.08124   0.0000000   1.8850691  13.1954834
18  1005.79109   0.2642298   1.0996238  10.8391485
19  1074.34666   0.0000000   4.2414045  29.6898317
20  1087.26072   0.0000000   1.8850697  13.1954882
21  1101.71742   0.2642296   2.0421561  17.4368717
22  1214.25482   0.0000000   0.0000000   0.0000000
23  1281.91069   0.0000000   0.0000000   0.0000000
24  1361.18036   0.5284594   8.1686281  69.7475172
25  1380.70316   0.6605744   6.7548295  66.9199385
26  1507.23806  -2.3780673  23.0920838  416.1287749
27  1592.12232   0.0000000   1.8850694  13.1954861
28  2979.26504   1.8496083  10.0537000  224.3231811
29  3021.14830  -0.2642298  23.2491849  165.8860760
30  3182.01812   0.1321149  18.0652485  127.2421853
31  3193.84097  -0.0000000   9.4253544  65.9774805
32  3208.82883   0.9248042   1.0996237  46.1841938
33  3225.31483  -1.8496084   5.8122964  194.6333853
