# freq/cm-1  Intensity 
-5.75282e+02   2.99349e-06
-5.73782e+02   2.99832e-06
-5.72282e+02   3.00316e-06
-5.70782e+02   3.00802e-06
-5.69282e+02   3.01289e-06
-5.67782e+02   3.01778e-06
-5.66282e+02   3.02269e-06
-5.64782e+02   3.02761e-06
-5.63282e+02   3.03255e-06
-5.61782e+02   3.03750e-06
-5.60282e+02   3.04247e-06
-5.58782e+02   3.04745e-06
-5.57282e+02   3.05245e-06
-5.55782e+02   3.05747e-06
-5.54282e+02   3.06250e-06
-5.52782e+02   3.06755e-06
-5.51282e+02   3.07261e-06
-5.49782e+02   3.07769e-06
-5.48282e+02   3.08279e-06
-5.46782e+02   3.08791e-06
-5.45282e+02   3.09304e-06
-5.43782e+02   3.09819e-06
-5.42282e+02   3.10335e-06
-5.40782e+02   3.10853e-06
-5.39282e+02   3.11373e-06
-5.37782e+02   3.11895e-06
-5.36282e+02   3.12418e-06
-5.34782e+02   3.12944e-06
-5.33282e+02   3.13471e-06
-5.31782e+02   3.13999e-06
-5.30282e+02   3.14530e-06
-5.28782e+02   3.15062e-06
-5.27282e+02   3.15596e-06
-5.25782e+02   3.16132e-06
-5.24282e+02   3.16670e-06
-5.22782e+02   3.17210e-06
-5.21282e+02   3.17751e-06
-5.19782e+02   3.18294e-06
-5.18282e+02   3.18840e-06
-5.16782e+02   3.19387e-06
-5.15282e+02   3.19936e-06
-5.13782e+02   3.20487e-06
-5.12282e+02   3.21039e-06
-5.10782e+02   3.21594e-06
-5.09282e+02   3.22151e-06
-5.07782e+02   3.22710e-06
-5.06282e+02   3.23270e-06
-5.04782e+02   3.23833e-06
-5.03282e+02   3.24398e-06
-5.01782e+02   3.24964e-06
-5.00282e+02   3.25533e-06
-4.98782e+02   3.26104e-06
-4.97282e+02   3.26676e-06
-4.95782e+02   3.27251e-06
-4.94282e+02   3.27828e-06
-4.92782e+02   3.28407e-06
-4.91282e+02   3.28988e-06
-4.89782e+02   3.29572e-06
-4.88282e+02   3.30157e-06
-4.86782e+02   3.30745e-06
-4.85282e+02   3.31335e-06
-4.83782e+02   3.31926e-06
-4.82282e+02   3.32521e-06
-4.80782e+02   3.33117e-06
-4.79282e+02   3.33716e-06
-4.77782e+02   3.34316e-06
-4.76282e+02   3.34920e-06
-4.74782e+02   3.35525e-06
-4.73282e+02   3.36133e-06
-4.71782e+02   3.36743e-06
-4.70282e+02   3.37355e-06
-4.68782e+02   3.37970e-06
-4.67282e+02   3.38587e-06
-4.65782e+02   3.39206e-06
-4.64282e+02   3.39828e-06
-4.62782e+02   3.40452e-06
-4.61282e+02   3.41079e-06
-4.59782e+02   3.41708e-06
-4.58282e+02   3.42340e-06
-4.56782e+02   3.42974e-06
-4.55282e+02   3.43611e-06
-4.53782e+02   3.44250e-06
-4.52282e+02   3.44892e-06
-4.50782e+02   3.45536e-06
-4.49282e+02   3.46183e-06
-4.47782e+02   3.46832e-06
-4.46282e+02   3.47484e-06
-4.44782e+02   3.48139e-06
-4.43282e+02   3.48797e-06
-4.41782e+02   3.49457e-06
-4.40282e+02   3.50120e-06
-4.38782e+02   3.50785e-06
-4.37282e+02   3.51453e-06
-4.35782e+02   3.52125e-06
-4.34282e+02   3.52799e-06
-4.32782e+02   3.53475e-06
-4.31282e+02   3.54155e-06
-4.29782e+02   3.54837e-06
-4.28282e+02   3.55523e-06
-4.26782e+02   3.56211e-06
-4.25282e+02   3.56902e-06
-4.23782e+02   3.57596e-06
-4.22282e+02   3.58293e-06
-4.20782e+02   3.58994e-06
-4.19282e+02   3.59697e-06
-4.17782e+02   3.60403e-06
-4.16282e+02   3.61112e-06
-4.14782e+02   3.61825e-06
-4.13282e+02   3.62541e-06
-4.11782e+02   3.63259e-06
-4.10282e+02   3.63981e-06
-4.08782e+02   3.64707e-06
-4.07282e+02   3.65435e-06
-4.05782e+02   3.66167e-06
-4.04282e+02   3.66902e-06
-4.02782e+02   3.67640e-06
-4.01282e+02   3.68382e-06
-3.99782e+02   3.69127e-06
-3.98282e+02   3.69876e-06
-3.96782e+02   3.70628e-06
-3.95282e+02   3.71384e-06
-3.93782e+02   3.72143e-06
-3.92282e+02   3.72906e-06
-3.90782e+02   3.73672e-06
-3.89282e+02   3.74442e-06
-3.87782e+02   3.75215e-06
